כ״ט אלול,25/9/2022
ערב ראש השנה,25/9/2022
א׳ תשרי תשפ״ג,26/9/2022
ראש השנה ,26/9/2022
ב׳ תשרי,27/9/2022
ראש השנה ב׳,27/9/2022
ג׳ תשרי,28/9/2022
צום גדליה,28/9/2022
ד׳ תשרי,29/9/2022
ה׳ תשרי,30/9/2022
ו׳ תשרי,1/10/2022
שבת שובה,1/10/2022
פרשת וילך,1/10/2022
ז׳ תשרי,2/10/2022
ח׳ תשרי,3/10/2022
ט׳ תשרי,4/10/2022
ערב יום כפור,4/10/2022
י׳ תשרי,5/10/2022
יום כפור,5/10/2022
י״א תשרי,6/10/2022
י״ב תשרי,7/10/2022
י״ג תשרי,8/10/2022
פרשת האזינו,8/10/2022
י״ד תשרי,9/10/2022
ערב סוכות,9/10/2022
ט״ו תשרי,10/10/2022
חג סוכות,10/10/2022
ט״ז תשרי,11/10/2022
סוכות ב׳ (חוה״מ),11/10/2022
י״ז תשרי,12/10/2022
סוכות ג׳ (חוה״מ),12/10/2022
י״ח תשרי,13/10/2022
סוכות ד׳ (חוה״מ),13/10/2022
י״ט תשרי,14/10/2022
סוכות ה׳ (חוה״מ),14/10/2022
כ׳ תשרי,15/10/2022
סוכות ו׳ (חוה״מ),15/10/2022
כ״א תשרי,16/10/2022
סוכות ז׳ (הושענא רבה),16/10/2022
כ״ב תשרי,17/10/2022
שמיני עצרת,17/10/2022
כ״ג תשרי,18/10/2022
כ״ד תשרי,19/10/2022
כ״ה תשרי,20/10/2022
כ״ו תשרי,21/10/2022
כ״ז תשרי,22/10/2022
שבת מברכים חודש חשון,22/10/2022
פרשת בראשית,22/10/2022
כ״ח תשרי,23/10/2022
כ״ט תשרי,24/10/2022
ל׳ תשרי,25/10/2022
ראש חודש חשון,25/10/2022
א׳ חשון תשפ״ג,26/10/2022
ראש חודש חשון,26/10/2022
ב׳ חשון,27/10/2022
ג׳ חשון,28/10/2022
ד׳ חשון,29/10/2022
פרשת נח,29/10/2022
ה׳ חשון,30/10/2022
ו׳ חשון,31/10/2022
ז׳ חשון,1/11/2022
ח׳ חשון,2/11/2022
ט׳ חשון,3/11/2022
י׳ חשון,4/11/2022
י״א חשון,5/11/2022
פרשת לך־לך,5/11/2022
י״ב חשון,6/11/2022
י״ג חשון,7/11/2022
י״ד חשון,8/11/2022
ט״ו חשון,9/11/2022
ט״ז חשון,10/11/2022
י״ז חשון,11/11/2022
י״ח חשון,12/11/2022
פרשת וירא,12/11/2022
י״ט חשון,13/11/2022
כ׳ חשון,14/11/2022
כ״א חשון,15/11/2022
כ״ב חשון,16/11/2022
כ״ג חשון,17/11/2022
כ״ד חשון,18/11/2022
כ״ה חשון,19/11/2022
שבת מברכים חודש כסלו,19/11/2022
פרשת חיי שרה,19/11/2022
כ״ו חשון,20/11/2022
כ״ז חשון,21/11/2022
כ״ח חשון,22/11/2022
כ״ט חשון,23/11/2022
ל׳ חשון,24/11/2022
ראש חודש כסלו,24/11/2022
א׳ כסלו תשפ״ג,25/11/2022
ראש חודש כסלו,25/11/2022
ב׳ כסלו,26/11/2022
פרשת תולדות,26/11/2022
ג׳ כסלו,27/11/2022
ד׳ כסלו,28/11/2022
ה׳ כסלו,29/11/2022
ו׳ כסלו,30/11/2022
ז׳ כסלו,1/12/2022
ח׳ כסלו,2/12/2022
ט׳ כסלו,3/12/2022
פרשת ויצא,3/12/2022
י׳ כסלו,4/12/2022
י״א כסלו,5/12/2022
י״ב כסלו,6/12/2022
י״ג כסלו,7/12/2022
י״ד כסלו,8/12/2022
ט״ו כסלו,9/12/2022
ט״ז כסלו,10/12/2022
פרשת וישלח,10/12/2022
י״ז כסלו,11/12/2022
י״ח כסלו,12/12/2022
י״ט כסלו,13/12/2022
כ׳ כסלו,14/12/2022
כ״א כסלו,15/12/2022
כ״ב כסלו,16/12/2022
כ״ג כסלו,17/12/2022
שבת מברכים חודש טבת,17/12/2022
פרשת וישב,17/12/2022
כ״ד כסלו,18/12/2022
חנוכה: א׳ נר,18/12/2022
כ״ה כסלו,19/12/2022
חנוכה: ב׳ ,19/12/2022
כ״ו כסלו,20/12/2022
חנוכה: ג׳ ,20/12/2022
כ״ז כסלו,21/12/2022
חנוכה: ד׳ ,21/12/2022
כ״ח כסלו,22/12/2022
חנוכה: ה׳ ,22/12/2022
כ״ט כסלו,23/12/2022
חנוכה: ו׳ ,23/12/2022
ל׳ כסלו,24/12/2022
חנוכה: ז׳ ,24/12/2022
ראש חודש טבת,24/12/2022
פרשת מקץ,24/12/2022
א׳ טבת תשפ״ג,25/12/2022
חנוכה: ח׳ ,25/12/2022
ראש חודש טבת,25/12/2022
ב׳ טבת,26/12/2022
חנוכה: יום ח׳,26/12/2022
ג׳ טבת,27/12/2022
ד׳ טבת,28/12/2022
ה׳ טבת,29/12/2022
ו׳ טבת,30/12/2022
ז׳ טבת,31/12/2022
פרשת ויגש,31/12/2022
ח׳ טבת,1/1/2023
ט׳ טבת,2/1/2023
י׳ טבת,3/1/2023
עשרה בטבת,3/1/2023
י״א טבת,4/1/2023
י״ב טבת,5/1/2023
י״ג טבת,6/1/2023
י״ד טבת,7/1/2023
פרשת ויחי,7/1/2023
ט״ו טבת,8/1/2023
ט״ז טבת,9/1/2023
י״ז טבת,10/1/2023
י״ח טבת,11/1/2023
י״ט טבת,12/1/2023
כ׳ טבת,13/1/2023
כ״א טבת,14/1/2023
פרשת שמות,14/1/2023
כ״ב טבת,15/1/2023
כ״ג טבת,16/1/2023
כ״ד טבת,17/1/2023
כ״ה טבת,18/1/2023
כ״ו טבת,19/1/2023
כ״ז טבת,20/1/2023
כ״ח טבת,21/1/2023
שבת מברכים חודש שבט,21/1/2023
פרשת וארא,21/1/2023
כ״ט טבת,22/1/2023
א׳ שבט תשפ״ג,23/1/2023
ראש חודש שבט,23/1/2023
ב׳ שבט,24/1/2023
ג׳ שבט,25/1/2023
ד׳ שבט,26/1/2023
ה׳ שבט,27/1/2023
ו׳ שבט,28/1/2023
פרשת בא,28/1/2023
ז׳ שבט,29/1/2023
ח׳ שבט,30/1/2023
ט׳ שבט,31/1/2023
י׳ שבט,1/2/2023
י״א שבט,2/2/2023
י״ב שבט,3/2/2023
י״ג שבט,4/2/2023
שבת שירה,4/2/2023
פרשת בשלח,4/2/2023
י״ד שבט,5/2/2023
ט״ו שבט,6/2/2023
טו בשבט,6/2/2023
ט״ז שבט,7/2/2023
י״ז שבט,8/2/2023
י״ח שבט,9/2/2023
י״ט שבט,10/2/2023
כ׳ שבט,11/2/2023
פרשת יתרו,11/2/2023
כ״א שבט,12/2/2023
כ״ב שבט,13/2/2023
כ״ג שבט,14/2/2023
כ״ד שבט,15/2/2023
כ״ה שבט,16/2/2023
כ״ו שבט,17/2/2023
כ״ז שבט,18/2/2023
שבת שקלים,18/2/2023
שבת מברכים חודש אדר,18/2/2023
פרשת משפטים,18/2/2023
כ״ח שבט,19/2/2023
כ״ט שבט,20/2/2023
ל׳ שבט,21/2/2023
ראש חודש אדר,21/2/2023
א׳ אדר תשפ״ג,22/2/2023
ראש חודש אדר,22/2/2023
ב׳ אדר,23/2/2023
ג׳ אדר,24/2/2023
ד׳ אדר,25/2/2023
פרשת תרומה,25/2/2023
ה׳ אדר,26/2/2023
ו׳ אדר,27/2/2023
ז׳ אדר,28/2/2023
ח׳ אדר,1/3/2023
ט׳ אדר,2/3/2023
י׳ אדר,3/3/2023
י״א אדר,4/3/2023
שבת זכור,4/3/2023
פרשת תצוה,4/3/2023
י״ב אדר,5/3/2023
י״ג אדר,6/3/2023
ערב פורים,6/3/2023
י״ד אדר,7/3/2023
פורים,7/3/2023
ט״ו אדר,8/3/2023
שושן פורים,8/3/2023
ט״ז אדר,9/3/2023
י״ז אדר,10/3/2023
י״ח אדר,11/3/2023
שבת פרה,11/3/2023
פרשת כי תשא,11/3/2023
י״ט אדר,12/3/2023
כ׳ אדר,13/3/2023
כ״א אדר,14/3/2023
כ״ב אדר,15/3/2023
כ״ג אדר,16/3/2023
כ״ד אדר,17/3/2023
כ״ה אדר,18/3/2023
שבת החדש,18/3/2023
שבת מברכים חודש ניסן,18/3/2023
פרשת ויקהל-פקודי,18/3/2023
כ״ו אדר,19/3/2023
כ״ז אדר,20/3/2023
כ״ח אדר,21/3/2023
כ״ט אדר,22/3/2023
א׳ ניסן תשפ״ג,23/3/2023
ראש חודש ניסן,23/3/2023
ב׳ ניסן,24/3/2023
ג׳ ניסן,25/3/2023
פרשת ויקרא,25/3/2023
ד׳ ניסן,26/3/2023
ה׳ ניסן,27/3/2023
ו׳ ניסן,28/3/2023
ז׳ ניסן,29/3/2023
ח׳ ניסן,30/3/2023
ט׳ ניסן,31/3/2023
י׳ ניסן,1/4/2023
שבת הגדול,1/4/2023
פרשת צו,1/4/2023
י״א ניסן,2/4/2023
י״ב ניסן,3/4/2023
י״ג ניסן,4/4/2023
י״ד ניסן,5/4/2023
ערב פסח,5/4/2023
ט״ו ניסן,6/4/2023
פסח א׳,6/4/2023
ט״ז ניסן,7/4/2023
פסח ב׳ (חוה״מ),7/4/2023
י״ז ניסן,8/4/2023
פסח ג׳ (חוה״מ),8/4/2023
י״ח ניסן,9/4/2023
פסח ד׳ (חוה״מ),9/4/2023
י״ט ניסן,10/4/2023
פסח ה׳ (חוה״מ),10/4/2023
כ׳ ניסן,11/4/2023
פסח ו׳ (חוה״מ),11/4/2023
כ״א ניסן,12/4/2023
פסח ז׳,12/4/2023
כ״ב ניסן,13/4/2023
כ״ג ניסן,14/4/2023
